4 way domicile,Domicile,Level of study,Mode of study,Academic Year,Region of HE provider,Number
All,Bulgaria,First degree,Part-time,2021/22,South West,10
All,Bulgaria,First degree,Part-time,2021/22,The Open University in England,0
All,Bulgaria,First degree,Part-time,2021/22,England,85
All,Bulgaria,First degree,Part-time,2021/22,Wales,0
All,Bulgaria,First degree,Part-time,2021/22,Scotland,25
All,Bulgaria,First degree,Part-time,2021/22,Northern Ireland,0
All,Bulgaria,First degree,Part-time,2021/22,Total United Kingdom,110
All,Bulgaria,First degree,All,2021/22,North East,60
All,Bulgaria,First degree,All,2021/22,North West,305
All,Bulgaria,First degree,All,2021/22,Yorkshire and The Humber,180
All,Bulgaria,First degree,All,2021/22,East Midlands,150
All,Bulgaria,First degree,All,2021/22,West Midlands,250
All,Bulgaria,First degree,All,2021/22,East of England,250
All,Bulgaria,First degree,All,2021/22,London,775
All,Bulgaria,First degree,All,2021/22,South East,590
All,Bulgaria,First degree,All,2021/22,South West,250
All,Bulgaria,First degree,All,2021/22,The Open University in England,0
All,Bulgaria,First degree,All,2021/22,England,2800
All,Bulgaria,First degree,All,2021/22,Wales,120
All,Bulgaria,First degree,All,2021/22,Scotland,635
All,Bulgaria,First degree,All,2021/22,Northern Ireland,5
All,Bulgaria,First degree,All,2021/22,Total United Kingdom,3560
All,Bulgaria,Other undergraduate,Full-time,2021/22,North East,5
All,Bulgaria,Other undergraduate,Full-time,2021/22,North West,0
All,Bulgaria,Other undergraduate,Full-time,2021/22,Yorkshire and The Humber,0
All,Bulgaria,Other undergraduate,Full-time,2021/22,East Midlands,0
All,Bulgaria,Other undergraduate,Full-time,2021/22,West Midlands,5
All,Bulgaria,Other undergraduate,Full-time,2021/22,East of England,0
All,Bulgaria,Other undergraduate,Full-time,2021/22,London,5
All,Bulgaria,Other undergraduate,Full-time,2021/22,South East,0
All,Bulgaria,Other undergraduate,Full-time,2021/22,South West,0
All,Bulgaria,Other undergraduate,Full-time,2021/22,The Open University in England,0
All,Bulgaria,Other undergraduate,Full-time,2021/22,England,15
All,Bulgaria,Other undergraduate,Full-time,2021/22,Wales,5
All,Bulgaria,Other undergraduate,Full-time,2021/22,Scotland,0
All,Bulgaria,Other undergraduate,Full-time,2021/22,Northern Ireland,0
All,Bulgaria,Other undergraduate,Full-time,2021/22,Total United Kingdom,20
All,Bulgaria,Other undergraduate,Part-time,2021/22,North East,0
All,Bulgaria,Other undergraduate,Part-time,2021/22,North West,0
All,Bulgaria,Other undergraduate,Part-time,2021/22,Yorkshire and The Humber,0
All,Bulgaria,Other undergraduate,Part-time,2021/22,East Midlands,0
All,Bulgaria,Other undergraduate,Part-time,2021/22,West Midlands,0
All,Bulgaria,Other undergraduate,Part-time,2021/22,East of England,5
All,Bulgaria,Other undergraduate,Part-time,2021/22,London,5
All,Bulgaria,Other undergraduate,Part-time,2021/22,South East,0
All,Bulgaria,Other undergraduate,Part-time,2021/22,South West,0
All,Bulgaria,Other undergraduate,Part-time,2021/22,The Open University in England,0
All,Bulgaria,Other undergraduate,Part-time,2021/22,England,15
All,Bulgaria,Other undergraduate,Part-time,2021/22,Wales,0
All,Bulgaria,Other undergraduate,Part-time,2021/22,Scotland,5
All,Bulgaria,Other undergraduate,Part-time,2021/22,Northern Ireland,0
All,Bulgaria,Other undergraduate,Part-time,2021/22,Total United Kingdom,20
All,Bulgaria,Other undergraduate,All,2021/22,North East,5
All,Bulgaria,Other undergraduate,All,2021/22,North West,0
All,Bulgaria,Other undergraduate,All,2021/22,Yorkshire and The Humber,0
All,Bulgaria,Other undergraduate,All,2021/22,East Midlands,0
All,Bulgaria,Other undergraduate,All,2021/22,West Midlands,5
All,Bulgaria,Other undergraduate,All,2021/22,East of England,5
All,Bulgaria,Other undergraduate,All,2021/22,London,10
All,Bulgaria,Other undergraduate,All,2021/22,South East,0
All,Bulgaria,Other undergraduate,All,2021/22,South West,5
All,Bulgaria,Other undergraduate,All,2021/22,The Open University in England,0
All,Bulgaria,Other undergraduate,All,2021/22,England,30
All,Bulgaria,Other undergraduate,All,2021/22,Wales,5
All,Bulgaria,Other undergraduate,All,2021/22,Scotland,5
All,Bulgaria,Other undergraduate,All,2021/22,Northern Ireland,0
All,Bulgaria,Other undergraduate,All,2021/22,Total United Kingdom,40
All,Bulgaria,All undergraduate,Full-time,2021/22,North East,65
All,Bulgaria,All undergraduate,Full-time,2021/22,North West,300
All,Bulgaria,All undergraduate,Full-time,2021/22,Yorkshire and The Humber,175
All,Bulgaria,All undergraduate,Full-time,2021/22,East Midlands,150
All,Bulgaria,All undergraduate,Full-time,2021/22,West Midlands,235
All,Bulgaria,All undergraduate,Full-time,2021/22,East of England,240
All,Bulgaria,All undergraduate,Full-time,2021/22,London,755
